Date,Close,High,Low,Open,Volume
,MKR-USD,MKR-USD,MKR-USD,MKR-USD,MKR-USD
2022-12-04,649.694091796875,651.6425170898438,640.75341796875,640.8796997070312,14232683
2022-12-05,638.1619873046875,656.4193115234375,636.1603393554688,649.614501953125,20621289
2022-12-06,631.7424926757812,639.32861328125,629.8291625976562,638.1802368164062,19203406
2022-12-07,606.3676147460938,632.6224975585938,606.1107177734375,631.7608032226562,18940407
2022-12-08,621.9346923828125,626.0755615234375,603.8416137695312,606.4244995117188,22569886
2022-12-09,611.0866088867188,622.6859130859375,610.3637084960938,621.9480590820312,15457703
2022-12-10,613.6802978515625,620.34423828125,611.062744140625,611.062744140625,13127295
2022-12-11,602.1458740234375,616.391845703125,601.529052734375,613.5883178710938,15385696
2022-12-12,588.908935546875,602.0985107421875,583.0479736328125,602.0985107421875,25400083
2022-12-13,603.2882690429688,606.9571533203125,579.3590698242188,588.97216796875,23077752
2022-12-14,606.1576538085938,614.2691650390625,599.6046142578125,603.2688598632812,18896477
2022-12-15,590.2776489257812,609.8157958984375,587.9925537109375,606.1909790039062,16631449
2022-12-16,540.0326538085938,595.6333618164062,535.0086059570312,590.2528686523438,19843162
2022-12-17,553.341796875,553.451416015625,533.7399291992188,540.0084228515625,15710336
2022-12-18,554.1646118164062,561.3287963867188,550.7764282226562,553.2919921875,11082467
2022-12-19,527.2643432617188,557.3762817382812,525.148193359375,554.1678466796875,14355080
2022-12-20,558.33984375,558.8259887695312,527.3906860351562,527.3906860351562,14126075
2022-12-21,551.1961669921875,558.3251342773438,546.7796020507812,558.0939331054688,13180369
2022-12-22,551.4708862304688,555.1783447265625,538.6160888671875,551.273681640625,13849572
2022-12-23,553.7487182617188,555.8030395507812,550.2009887695312,551.4696044921875,13498781
2022-12-24,551.2184448242188,555.9155883789062,550.4976196289062,553.7757568359375,11919077
2022-12-25,540.2932739257812,552.3232421875,535.31982421875,551.2442016601562,13606804
2022-12-26,548.9324951171875,548.9383544921875,538.4251708984375,540.22412109375,13079676
2022-12-27,541.7460327148438,550.2748413085938,536.2720947265625,548.8946533203125,14515297
2022-12-28,518.1635131835938,542.8939819335938,515.6367797851562,541.7562866210938,14924093
